"","date","year","month","sla_mm","decimal_year","predicted"
"1",1993-01-15,1993,1,41.4000004529953,1993.04166666667,-13.0753451248402
"2",1993-02-15,1993,2,-4.99999988824129,1993.125,-12.7858626385414
"3",1993-03-15,1993,3,-4.60000010207295,1993.20833333333,-12.4963801522426
"4",1993-04-15,1993,4,24.8000007122755,1993.29166666667,-12.206897665943
"5",1993-05-15,1993,5,2.70000007003546,1993.375,-11.9174151796442
"6",1993-06-15,1993,6,4.10000002011657,1993.45833333333,-11.6279326933454
"7",1993-07-15,1993,7,1.9000000320375,1993.54166666667,-11.3384502070467
"8",1993-08-15,1993,8,10.8000002801418,1993.625,-11.0489677207479
"9",1993-09-15,1993,9,8.00000037997961,1993.70833333333,-10.7594852344491
"10",1993-10-15,1993,10,-13.399999588728,1993.79166666667,-10.4700027481495
"11",1993-11-15,1993,11,1.50000001303852,1993.875,-10.1805202618507
"12",1993-12-15,1993,12,-12.7999996766448,1993.95833333333,-9.89103777555192
"13",1994-01-15,1994,1,32.600000500679,1994.04166666667,-9.60155528925225
"14",1994-02-15,1994,2,-16.2000004202127,1994.125,-9.31207280295439
"15",1994-03-15,1994,3,-29.7999996691942,1994.20833333333,-9.02259031665562
"16",1994-04-15,1994,4,-16.499999910593,1994.29166666667,-8.73310783035595
"17",1994-05-15,1994,5,-16.4000000804663,1994.375,-8.44362534405718
"18",1994-06-15,1994,6,29.4000003486872,1994.45833333333,-8.15414285775842
"19",1994-07-15,1994,7,-19.5000004023314,1994.54166666667,-7.86466037145874
"20",1994-08-15,1994,8,5.29999984428287,1994.625,-7.57517788515997
"21",1994-09-15,1994,9,-45.4000011086464,1994.70833333333,-7.28569539886121
"22",1994-10-15,1994,10,-16.100000590086,1994.79166666667,-6.99621291256244
"23",1994-11-15,1994,11,24.9000005424023,1994.875,-6.70673042626368
"24",1994-12-15,1994,12,97.800001502037,1994.95833333333,-6.41724793996491
"25",1995-01-15,1995,1,29.4000003486872,1995.04166666667,-6.12776545366523
"26",1995-02-15,1995,2,32.8000001609325,1995.125,-5.83828296736647
"27",1995-03-15,1995,3,26.7999991774559,1995.20833333333,-5.5488004810677
"28",1995-04-15,1995,4,20.8000000566244,1995.29166666667,-5.25931799476803
"29",1995-05-15,1995,5,-15.6999994069338,1995.375,-4.96983550846926
"30",1995-06-15,1995,6,61.599999666214,1995.45833333333,-4.68035302217049
"31",1995-07-15,1995,7,-1.00000004749745,1995.54166666667,-4.39087053587173
"32",1995-08-15,1995,8,8.500000461936,1995.625,-4.10138804957296
"33",1995-09-15,1995,9,40.8000014722347,1995.70833333333,-3.81190556327419
"34",1995-10-15,1995,10,-13.1000000983477,1995.79166666667,-3.52242307697452
"35",1995-11-15,1995,11,-23.3999993652105,1995.875,-3.23294059067575
"36",1995-12-15,1995,12,20.9999997168779,1995.95833333333,-2.94345810437699
"37",1996-01-15,1996,1,21.7000003904104,1996.04166666667,-2.65397561807731
"38",1996-02-15,1996,2,46.5000011026859,1996.125,-2.36449313177854
"39",1996-03-15,1996,3,9.89999994635582,1996.20833333333,-2.07501064547978
"40",1996-04-15,1996,4,44.7999984025955,1996.29166666667,-1.78552815918101
"41",1996-05-15,1996,5,7.40000000223517,1996.375,-1.49604567288225
"42",1996-06-15,1996,6,16.6999995708466,1996.45833333333,-1.20656318658348
"43",1996-07-15,1996,7,-35.0000001490116,1996.54166666667,-0.917080700283805
"44",1996-08-15,1996,8,-60.699999332428,1996.625,-0.627598213985038
"45",1996-09-15,1996,9,-29.899999499321,1996.70833333333,-0.338115727686272
"46",1996-10-15,1996,10,-22.299999371171,1996.79166666667,-0.0486332413865966
"47",1996-11-15,1996,11,-55.7999983429909,1996.875,0.24084924491217
"48",1996-12-15,1996,12,1.30000000353903,1996.95833333333,0.530331731210026
"49",1997-01-15,1997,1,-50.500001758337,1997.04166666667,0.819814217509702
"50",1997-02-15,1997,2,-45.6000007688999,1997.125,1.10929670380847
